Gene	logFC
RPL12A	-3.184424571
SWT1	-0.454031631
SHU1	0.475084883
HXT10	
BCH1	0.014355293
RPN6	0.59454855
YKE2	-0.168122759
TIF4632	0.111031312
ELF1	0.35614381
GPI17	0.432959407
ATG34	
MYO1	-0.104697379
TVP15	0.887525271
COQ9	1.443606651
DCP1	-0.64385619
DBP2	-5.64385619
POL5	
PPM1	
KDX1	4.731183242
RPS28A	-2.058893689
MAS2	0.367371066
ARX1	-4.058893689
HOT1	-0.304006187
STE20	-1.184424571
DFG5	1.327687364
SNU23	
CTR1	0.344828497
MRC1	
PCH2	-1.089267338
VTC1	-0.810966176
IES1	0.526068812
PHM7	0.757023247
RNT1	-2.473931188
TES1	1.15704371
SSN3	-1.736965594
RPC19	-1.556393349
DXO1	-0.321928095
RTR1	1.49057013
MET10	1.443606651
DDR48	0.941106311
YLH47	-0.49410907
GDT1	-0.785875195
PMP1	-0.514573173
ART5	-0.64385619
RPM2	0.604071324
ALD5	1
PAI3	1.310340121
SMC2	0.275007047
HAT2	0.443606651
ARO7	-0.395928676
PPZ2	1.257010618
GLN4	-1.943416472
THR1	-0.152003093
MSS51	0.956056652
NTC20	0.310340121
BUG1	0.321928095
RPN4	0
ADH1	-0.058893689
YAP3	0.310340121
HSP12	1.150559677
NOP4	-1.785875195
PRE8	0.613531653
RPS24A	-2.64385619
CTS2	0.411426246
RRT5	
JID1	
DOC1	-0.304006187
GPI19	
PIR3	2.250961574
STE5	0.084064265
VMA16	0.111031312
PTP3	0.613531653
VPS74	
VAC17	-0.64385619
DUF1	0.659924558
PIR1	
RPN1	0.084064265
SPO71	0.056583528
SIP18	0.815575429
QRI5	0.895302621
CHA1	2.021479727
RPS9B	-1.120294234
QCR6	0.731183242
PCM1	1.298658316
MDJ1	0.731183242
KAP114	
THI74	1.163498732
GPM2	2.817623258
ANT1	0.739848103
HMX1	
DMA2	1.189033824
SRB8	0.056583528
MPD2	0
MCD4	
HXT12	1.207892852
UTP14	-3.321928095
DAP2	1.480265122
TMS1	1.021479727
ALG1	0.526068812
ECM5	
FCY1	-0.340075442
VPS16	0.310340121
FRQ1	0.59454855
YSA1	0.59454855
PHO4	-0.168122759
HHY1	4.154615611
GNA1	0.150559677
PDE2	-0.043943348
LRS4	-0.59946207
GPD1	1.201633861
ELC1	0.201633861
COG5	0.176322773
MLS1	4.202417722
PHO92	
AHC2	0.042644337
ENA1	0.344828497
HAL9	0.097610797
TPK3	
GIM5	-0.76121314
YHI9	4.037382222
MMT1	
DCP2	0.526068812
SCD6	
ENT2	
RAD10	-1.029146346
IMA3	0.669026766
CYC8	-0.321928095
TNA1	-1.514573173
LPD1	1.189033824
PRT1	-1.736965594
TAD1	-0.415037499
ARP10	0.454175893
COX5A	0.925999419
ICP55	0.545968369
BCS1	0.464668267
TRX3	0.286881148
APL6	0.389566812
HMLALPHA1	-0.395928676
MRP49	0.555816155
DIA3	1.327687364
TMN2	
URA2	-0.043943348
RRN5	3.142413438
SGF11	0.432959407
TUP1	-0.943416472
RCL1	-2.836501268
HRD3	0.028569152
HMLALPHA2	0.432959407
PET9	0.176322773
RSM10	1.056583528
PRE10	0.333423734
RTF1	-0.104697379
PDR18	
MSG5	0.475084883
