gene	logFC
FUN14	0.876114
MTC4	0.593048
FHN1	1.246216
PET8	0.563092
CKS1	-0.366322
CDC28	0.772862
IML2	0.959706
IRC9	2.446516
CLG1	-0.36753
MUD2	-0.16029
ICS3	0.418376
CWP2	-1.656524
AYR1	1.021932
HUL5	1.23343
PFD1	-0.597554
TIR4	-1.377192
MAE1	-3.42859
ATG29	2.44092
ASK1	-0.052572
THR1	-1.31751
SMC5	0.110266
HIR1	-0.555764
ARC15	0.48763
MSN1	0.87965
CAB5	0.371998
GIS2	-1.393984
PPG1	0.64324
PET494	0.70454
SEC65	-0.598056
CAF40	-0.112732
BET1	-0.671706
RCF2	-1.776808
POC4	0.06703
BNA6	0.024046
SBH1	-0.759458
DBP5	-0.445382
ILV5	-1.4335
TEL2	-0.157968
EXG1	-1.801456
RNQ1	-0.395146
HIR3	-0.200116
EXO1	0.288682
QDR3	-0.508404
LOT6	0.327528
ERG11	-2.224142
NTS2-2	-0.017846
ANS1	-0.193974
HBS1	0.010782
IMG1	-1.136174
EAP1	-0.160848
PNT1	-0.048884
SHE9	0.507958
ROK1	-2.516184
OPT2	0.347136
UGA1	1.826428
RIB1	0.327304
BUD19	-0.324046
JLP1	0.908182
URE2	-0.108368
MET2	0.255034
YET2	1.81069
SED1	1.437568
RSN1	-1.019514
OAF3	0.544296
RLM1	-0.517334
CAB4	0.101752
SCM3	0.512856
TRS23	0.06465
MPD1	1.181654
FEN2	-0.380654
CYB2	1.810118
ARP8	0.31998
HSP32	0.803828
SRO77	0.00798
RNA15	0.3472
GLE2	-0.227216
CHS2	-0.35208
FRD1	-0.031496
TIF6	-1.278714
ASP3-2	0.776556
PSA1	-2.374482
MRPL39	-0.334214
TCB3	-0.280554
PEX7	0.413708
OTU1	-0.16185
RDN37-2	-1.261236
RAM2	-0.153936
URA2	-1.832222
BOI1	0.135534
SEC5	0.394968
STN1	0.131954
PAL1	-0.15312
FAS1	-0.993708
RQC1	0.745106
SMA1	0.282014
SQT1	-1.891196
NMD4	0.861274
CSN9	-0.567622
ATG23	0.66576
PET10	1.979614
APL1	0.597458
NCA3	0.53652
RSF1	1.829268
CHZ1	-0.587918
YVH1	-2.101706
NPA3	-1.15417
GAP1	1.045024
CDH1	0.42521
RQC2	-0.02387
MSW1	0.244186
IME4	0.561396
CYK3	-0.50144
RRB1	-2.722478
HER2	0.675414
HXT8	-0.197354
SLM1	1.993532
ERG13	-0.849376
ATG26	0.84498
MCM10	-0.650136
RMR1	2.248134
NGR1	1.64926
CPA2	-1.075944
NDL1	0.311224
RPL11B	-1.773478
SYH1	-0.40796
ENP2	-2.442894
IME1	0.666358
LYS5	0.53489
OPY1	0.463278
GDH2	0.994092
UTP11	-2.244348
IPK1	1.095974
CST9	0.49891
LEU4	-0.556564
RPC31	-2.423386
CCC1	0.434298
PIG2	2.555914
FUS2	1.866958
SAL1	0.186972
CCA1	0.42694
DIP5	0.495926
HER1	1.597076
TGL5	0.021312
SNU13	-2.065302
FAL1	-1.829004
PUS2	-0.997524
PUS1	-1.48792
IMA2	0.62462
SYT1	0.189274
NOP58	-2.871022
CCT6	-0.743558
SAW1	0.532594
MTO1	-1.04357
NSG1	-0.599198
KCS1	-0.278566
ICE2	-0.63877
YPC1	3.497764
RRT8	2.619064
IRC4	1.11902
YEA4	0.297136
BRR1	0.480748
MRPL1	-0.056364
KIN1	1.587528
APM4	0.22182
YRF1-5	-0.447266
CDC6	-0.735928
IRC10	0.214608
BDF2	-1.734878
MET7	-0.21377
ERG3	-1.939432
STV1	0.207348
KTI12	-2.009096
RRG1	0.399712
SAF1	2.489846
QRI5	-0.110848
VPS9	-0.48382
MEH1	0.022178
OPI6	-0.115404
EGD2	-1.034938
ATP1	0.002164
IAH1	-0.007444
MSS1	1.061714
RIO1	-1.971094
SWT21	-0.0783
SRT1	0.769226
EMC1	-0.502494
RGC1	0.766524
RPF1	-2.088568
KAP104	-0.209524
ORC4	0.046374
TRS65	-0.113606
ENT1	0.854138
HIT1	-0.62486
LSG1	-1.680672
AGX1	2.516244
RPI1	1.14109
RSA1	-0.918152
MRP7	0.111878
HOM6	-0.624764
HSL7	-0.271574
TOS1	-1.304312
PRY1	-0.079862
CKB1	-0.710004
APC1	0.66132
CDC60	-1.001664
FAP1	-1.262772
AHA1	-0.201884
STH1	-0.236598
ATP14	-0.163068
MTG2	0.316802
YNG1	0.175454
SME1	-0.94043
ORT1	0.490862
IRA2	0.515936
ARO2	-2.056568
CRS5	0.236386
MRPL27	-0.058872
MSS116	-0.696274
ABM1	0.082504
PAN1	-0.680754
PSY1	0.430686
PKH3	0.40573
INP51	0.979368
NSR1	-4.293728
SSQ1	0.927346
RRT5	0.63895
DCP2	0.39329
SHE10	0.37245
STE24	-0.167086
RSC2	-0.278362
LCP5	-1.819204
FIP1	0.08817
MEU1	-1.781566
ERP5	0.030738
FAT1	0.128612
PAU21	0.523842
PER1	0.011158
PRM7	-3.104628
DSE3	-0.627112
BOR1	-0.462624
ADE1	-1.159854
FRE5	0.965416
FRE6	-0.557494
SXM1	-1.009374
SIC1	0.002898
BLS1	1.743822
UTP15	-1.745152
CCP1	0.812822
PET100	0.20865
PRP24	-0.477118
DAK1	2.769358
NOT5	0.087742
ILV2	-1.583948
KIN82	1.959428
GPP2	6.211012
PEX5	1.023018
ARF2	-0.170402
SLH1	0.481932
RTN1	-1.123346
ENV11	-0.06939
RDS1	-0.254062
FLO8	-0.22064
SLD5	-0.375148
PAU22	0.43236
ATG11	0.844166
RVB2	-0.299016
ASP3-1	0.905822
NTS2-1	-0.11005
RPL23A	-1.83335
CDC55	0.81484
ALG1	-0.068532
MKC7	-1.458682
DCI1	0.847582
FMP32	0.130914
OST2	-0.22229
CMC1	-0.161796
RPS17B	-1.986678
BDH2	5.048564
ASN1	-1.388054
MRPL8	-0.311456
MHF2	-0.649364
ECM23	-0.032438
DSN1	-0.10844
GPI8	-0.48764
UIP5	-1.779168
CNA1	0.05663
AVO2	1.967744
FIR1	-0.40796
LIA1	-3.198278
COG7	0.60327
INA22	0.290402
RRP42	-1.22997
REC114	0.188056
TFC8	0.428868
RCN1	-0.129168
UBC5	1.622136
NHA1	-0.642958
FES1	-0.589676
VPS33	0.853702
ISW1	-0.646368
IMA5	0.67228
ERV15	-0.168244
FMP30	0.298228
DPH1	-1.659618
MDM10	0.751464
SKN1	0.677732
SHY1	1.262916
HAP1	0.794268
ENO2	-0.833676
SGN1	0.379622
NOP6	-2.49732
HIM1	1.182484
SNM1	-1.12731
INP52	1.02765
AMF1	0.42994
GSY1	5.095812
RPS10B	-1.643322
RIF2	-0.03989
GPI18	-0.454514
FMP48	7.045764
COS5	0.5096
HEM4	0.534236
DUO1	-0.528896
SRP72	-0.351
YVC1	0.54145
ADE5,7	-1.38755
PYK2	2.53564
ASR1	-0.417206
MYO4	-0.35408
HPF1	-1.026472
ARO80	1.17391
TFG1	0.147684
DPL1	-0.18579
YCK1	-0.435138
RPS6B	-1.94904
BUD21	-1.643398
