class	id	name	speciesType	compartment	positionToCompartment	included	quantity type	initialQuantity	substanceUnits	hasOnlySubstanceUnits	b.c.	constants
COMPLEX	s6509	26S proteasome		c5	inside	s6509(s6505 s6506 s6507 s6508 s6510 s6511 s6515 s6513 s6514 s6516 s6517)	Amount	0		FALSE	FALSE	FALSE
RNA	s6558	AHA1		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6557	AHA1		c5	inside		Amount	0		FALSE	FALSE	FALSE
PHENOTYPE	s22	Actin depolarization		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s54	Bag7		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s23	Bck1		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s77	Bcp1		c5	innerSurface		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s52	Bem2		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6939	Cdc28		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6564	CDC37		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6563	CDC37		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6935	Cdc37		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6919	Cna1		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6395	Cnb1		c4	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6554	CPR6		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6553	CPR6		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6556	CPR7		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6555	CPR7		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6887	Cpr7		c4	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6267	CUP1		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6268	CUP1		c5	inside		Amount	0		FALSE	FALSE	FALSE
PHENOTYPE	s6542	Chaperones - HSP70 family		c5	inside		Amount	0		FALSE	FALSE	FALSE
PHENOTYPE	s6582	Co-chaperones for HSP70 & HSP90		c5	inside		Amount	0		FALSE	FALSE	FALSE
PHENOTYPE	s6453	DNA Repair		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6221	Doa4		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6217	End3		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6218	Sla2		c4	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6407	FKS1		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6408	FKS1		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6432	Fks1		c4	inside		Amount	0		FALSE	FALSE	FALSE
SIMPLE_MOLECULE	s20	GDP		c4	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s29	GSC2		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6260	GSC2		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6433	Gsc2		c4	inside		Amount	0		FALSE	FALSE	FALSE
SIMPLE_MOLECULE	s19	GTP		c4	inside		Amount	0		FALSE	FALSE	FALSE
SIMPLE_MOLECULE	s6598	Glucose		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6888	Hap1		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6543	HSC82		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6544	HSC82		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6261	Hsf1		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6262	Hsf1		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s7074	Hsf1		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s7075	Hsf1		c4	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6290	HSP104		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6295	HSP104		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s2	HSP12		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6276	HSP12		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s3	HSP26		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6277	HSP26		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6271	HSP30		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6272	HSP30		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6568	HSP42		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6569	HSP42		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6269	HSP82		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6270	HSP82		c5	inside		Amount	0		FALSE	FALSE	FALSE
PHENOTYPE	s6567	HSP90 co-chaperones		c5	inside		Amount	0		FALSE	FALSE	FALSE
PHENOTYPE	s1	Heat Shock		default	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6278	Kap123		c5	innerSurface		Amount	0		FALSE	FALSE	FALSE
RNA	s6533	KAR2		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6532	KAR2		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6534	LHS1		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6535	LHS1		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s83	Lsp1		c4	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6413	MAG1		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6415	MAG1		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s24	Mkk1		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6455	Mkk1		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s25	Mkk2		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6456	Mkk2		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s35	Mkk2		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s49	Kdx1		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s75	Kdx1		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s57	Msg5		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s58	Msg5		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s14	Msn2		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6504	Msn2		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6583	Msn2		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s86	Msn4		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6838	Msn4		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6219	Mss4		c4	innerSurface		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s74	Mss4		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6438	Mss4		c5	inside		Amount	0		FALSE	FALSE	FALSE
