class	id	name	speciesType	compartment	positionToCompartment	included	quantity type	initialQuantity	substanceUnits	hasOnlySubstanceUnits	b.c.	constants	MIRIAM[relation]	MIRIAM[datatype]	MIRIAM[id]
COMPLEX	s686	4FE-4S/Cfd1/Nbp35		c1	inside	s686(s8530(s8531 s8531 s8531 s8531 s8532 s8532 s8532 s8532) s8536(s8537 s8538))	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s688	4Fe-4S/Cia1/Nar1		c1	inside	s688(s663(s664 s665 s665 s664 s664 s665 s664 s665) s8542(s8543 s8544))	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s7160	Act1/Ssk2		c1	inside	s7160(s2631 s6128)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s7120	Bni1/Spa2/Pea2		c1	transmembrane	s7120(s7088 s7089 s7090)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s7233	CCO		c13	inside	s7233(s8393(s8394 s8395) s8390(s8391 s8392))	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s6900	CN		c1	inside	s6900(s6412 s6413 s6901 s6901 s6901 s6901 s6415 s6902 s6902 s6902)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s7131	CN/Skn7		c4	inside	s7131(s6944(s6959 s6960 s6945 s6945 s6945 s6945 s6961 s6946 s6946 s6946) s8308)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s7115	Ca2+/Cmd1		c1	inside	s7115(s1370 s7116 s7116 s7116)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s7111	Ca2+/Cmd1/Cmk1		c1	inside	s7111(s7112 s7112 s7112 s6464 s6434)	Amount	0		TRUE	FALSE	FALSE			
COMPLEX	s7113	Ca2+/Cmd1/Cmk2		c1	inside	s7113(s8846 s8239 s8239 s8239 s8238)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s7118	Ca2+/Cna1/Cnb1		c1	inside	s7118(s6402 s6403 s7119 s7119 s7119 s7119)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s7135	Cdc28/Clb2		c4	inside	s7135(s6514 s6515)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s7134	Cdc28/Clb2		c4	inside	s7134(s1344 s1343)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s7133	Cdc28/Cln2		c4	inside	s7133(s6609 s6610)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s687	Cia1/Nar1		c1	inside	s687(s660 s661)	Amount	0		FALSE	FALSE	FALSE			
