class	id	name	speciesType	compartment	positionToCompartment	included	quantity type	initialQuantity	substanceUnits	hasOnlySubstanceUnits	b.c.	constants
COMPLEX	s393	SNF1 complex		c1	inside	s393(s394 s395 s396)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s6631	SNF1 complex		c1	inside	s6631(s6632 s6633 s6634)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s389	SNF1 complex		c1	inside	s389(s390 s392 s391)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s6509	26S proteasome		c1	inside	s6509(s6505 s6506 s6507 s6508 s6510 s6511 s6515 s6513 s6514 s6516 s6517)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s6635	SNF1 complex		c1	inside	s6635(s6636 s6637 s6638)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s1	SNF1 complex		c1	inside	s1(s8 s9 s7804)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s11	SNF1 complex		c1	inside	s11(s8178 s8104 s7805)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s141	SNF1 complex		c2	inside	s141(s142 s143 s144)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s148	SNF1 complex		c2	inside	s148(s149 s150 s151)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7640	CCAAT-binding factor		c2	inside	s7640(s7636 s7637 s7638 s7639)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7681	SAGA complex		c2	inside	s7681(s7682 s7684 s7685 s7686 s7687 s7689)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7759	EGO complex		c4	transmembrane	s7759(s7952(s8294 s8295) s8288(s8298 s8299) s8296 s8297)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7898	Gpr1/Plc1		c1	transmembrane	s7898(s6669 s6672)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7899	GDP/Gpa2/Gpb2/Gpg1		c1	transmembrane	s7899(s7934(s6699 s6700) s6697 s6698)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7901	Grr1/SCF complex		c1	inside	s7901(s7903(s7904 s7905 s7906 s7907) s7902)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7908	Tap42/TORC1		c1	transmembrane	s7908(s8771(s8846 s8847 s8848 s8849) s8850)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7910	Sit4/Tap42/TORC1		c1	transmembrane	s7910(s8773(s8184 s8185 s8186 s8187) s8182 s8183)	Amount	0		FALSE	FALSE	FALSE
