class	id	name	speciesType	compartment	positionToCompartment	included	quantity type	initialQuantity	substanceUnits	hasOnlySubstanceUnits	b.c.	constants	MIRIAM[relation]	MIRIAM[datatype]	MIRIAM[id]
SIMPLE_MOLECULE	s1	NaCl		default	inside		Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s28	Sln1		c1	outerSurface		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001409
PROTEIN	s29	Sln1		c1	outerSurface		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001409
PROTEIN	s6	Ssk1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000003996
PROTEIN	s31	Ssk1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000003996
PROTEIN	s8	Ssk2		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000669
PROTEIN	s9	Ssk22		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000669
PROTEIN	s52	Pbs2		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000003664
PROTEIN	s3	Pbs2		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000003664
PROTEIN	s45	Sln1		c1	outerSurface		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001409
PROTEIN	s55	Hkr1		c1	insideOfMembrane		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000002828
PROTEIN	s56	Msb2		c1	outerSurface		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000003246
PROTEIN	s57	Opy2		c1	outerSurface		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000006279
PROTEIN	s58	Msn1		c2	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000005476
PROTEIN	s59	Msn2		c2	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000004640
PROTEIN	s60	Msn4		c2	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001545
