class	id	name	speciesType	compartment	positionToCompartment	included	quantity type	initialQuantity	substanceUnits	hasOnlySubstanceUnits	b.c.	constants
COMPLEX	s6533	gamma-Glu-Cys		c1	inside	s6533(s8978 s8979)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8406	xenobiotics/GSH		c3	inside	s8406(s8402(s8410 s8411 s8412) s8409)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8407	xenobiotics/GSH		c6	inside	s8407(s8408(s8403 s8404 s8405) s6673)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8453	xenobiotics/GSH		c7	inside	s8453(s6686(s6687 s6688 s6689) s8736)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8646	eIF2B		c1	inside	s8646(s8647 s8649 s8651 s8653 s8655)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8382	Zeo1/Mid2		c1	inside	s8382(s9109 s8384)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s6929	Tsa1/Yap1		c1	inside	s6929(s145 s146)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s6930	Tsa1/Yap1		c1	inside	s6930(s149 s8433)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8434	Tsa1/Trx2		c1	inside	s8434(s174 s8435)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8776	Tsa1/Trx2		c1	inside	s8776(s8737 s8775)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s6942	Srb10/Srb11		c2	inside	s6942(s231 s232)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s6939	Skn7/Yap1		c2	inside	s6939(s9123 s36)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s6940	Skn7/Yap1		c2	inside	s6940(s31 s33)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8538	SBF complex/Slt2		c2	inside	s8538(s8550(s8418 s8419) s8417)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8534	SBF complex/Kdx2		c2	inside	s8534(s8546(s8423 s9108) s8425)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8537	SBF complex		c2	inside	s8537(s8549 s8397)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8356	Rom2/Slg1		c1	transmembrane	s8356(s6192 s144)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8355	Rom2/Mid2		c1	transmembrane	s8355(s9107 s8545)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s6926	Prx1/GSH		c3	inside	s6926(s8564(s8385 s8386 s8387) s6912)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8032	Msi1/Yak1		c2	inside	s8032(s7520 s7540)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s6928	Isa1/Isa2/Grx5		c3	inside	s6928(s6595 s6596 s8400)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s6931	Hyr1/Yap1/Ybp1		c1	inside	s6931(s6460 s140 s8432)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s6932	Hyr1/Yap1/Ybp1		c1	inside	s6932(s8 s9 s15)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s6938	Hsf1/Skn7		c2	inside	s6938(s8468 s120)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8370	Gsc2/Rho1		c1	inside	s8370(s8372(s8376 s8377) s8371)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8681	Grx4/Fra2/Fra1		c1	inside	s8681(s9050(s9052(s9057(s9058 s9059 s9058 s9059) s9060) s9051(s9053(s9054 s9055 s9054 s9055) s9056)) s7343)	Amount	0		FALSE	FALSE	FALSE
