class	id	name	speciesType	compartment	positionToCompartment	included	quantity type	initialQuantity	substanceUnits	hasOnlySubstanceUnits	b.c.	constants	MIRIAM[relation]	MIRIAM[datatype]	MIRIAM[id]	MIRIAM[relation]	MIRIAM[datatype]	MIRIAM[id]
PROTEIN	s6110	Mcm1		c1	inside					FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001412			
PROTEIN	s111	Cln2		c1	inside					FALSE	FALSE	FALSE	bqmodel:is	SGD	S000006177			
PROTEIN	s3	Ste7		c3	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000002318			
PROTEIN	s6902	Ste12		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001126			
PROTEIN	s15	Ste5		c3	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000537			
PROTEIN	s6120	Bem3		c3	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000006036			
PROTEIN	s6121	Rga1		c3	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000005653			
PROTEIN	s6133	Sst2		c3	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000004444			
PROTEIN	s76	Cdc28		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000364			
PROTEIN	s22	Far1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000003693			
GENE	s6153	MSG5		c1	inside		Amount	0		FALSE	FALSE	FALSE						
RNA	s6154	MSG5		c1	inside		Amount	0		FALSE	FALSE	FALSE						
PROTEIN	s6155	Msg5		c3	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000004998			
PROTEIN	s6183	Bem1		c3	innerSurface		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000404			
PROTEIN	s6900	Ste12		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001126			
PROTEIN	s6901	Pse1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000004925			
PROTEIN	s6956	Cla4		c3	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000005242			
PROTEIN	s6957	Ptp2		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000005734			
PROTEIN	s6958	Ptp3		c3	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000877			
GENE	s6968	FAR1		c1	inside		Amount	0		FALSE	FALSE	FALSE						
RNA	s6969	FAR1		c1	inside		Amount	0		FALSE	FALSE	FALSE						
PROTEIN	s6974	Dig1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000005970			
PROTEIN	s6975	Dig2		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000002888			
PROTEIN	s7008	Kss1		c3	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000003272			
RNA	s7018	FLO11		c1	inside		Amount	0		FALSE	FALSE	FALSE						
GENE	s7019	FLO11		c1	inside		Amount	0		FALSE	FALSE	FALSE						
PROTEIN	s7022	Flo8		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000911			
PROTEIN	s7023	Flo8		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000911			
PROTEIN	s7024	Tec1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000287			
PROTEIN	s33	Ste5		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000537			
PROTEIN	s7052	Mf(alpha)1/2		default	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000006108			
GENE	s18	FUS3		c1	inside		Amount	0		FALSE	FALSE	FALSE						
PROTEIN	s19	Ste5		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000537			
PROTEIN	s20	Fus3		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000112			
PROTEIN	s24	Kss1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000003272			
PROTEIN	s71	Fus3		c3	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000112			
PROTEIN	s72	Fus3		c3	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000112			
PROTEIN	s84	Ste20		c3	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000999			
PHENOTYPE	s85	Recovery from G1 arrest		c3	inside		Amount	0		FALSE	FALSE	FALSE						
PROTEIN	s90	Ste3		c3	insideOfMembrane		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001661			
PROTEIN	s102	Cdc24		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000039			
PROTEIN	s106	Far1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000003693			
PROTEIN	s6712	Cdc4		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001885			
COMPLEX	s6704	SCF Cdc4 complex		c1	inside	s6704(s6706(s8829 s8830 s8831 s8832) s6711)	Amount	0		FALSE	FALSE	FALSE						
PROTEIN	s117	Far1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000003693			
PROTEIN	s135	Cdc24		c3	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000039			
PROTEIN	s7096	Ste50		c3	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000537			
PROTEIN	s7139	Ste7		c3	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000002318			
PHENOTYPE	s7191	Polarized Growth		c3	inside		Amount	0		FALSE	FALSE	FALSE						
PROTEIN	s7200	Cdc24		c3	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000039			
PROTEIN	s7204	Ste12		c3	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001126			
RNA	s7208	FUS3		c1	inside		Amount	0		FALSE	FALSE	FALSE						
GENE	s7209	STE2		c1	inside		Amount	0		FALSE	FALSE	FALSE						
RNA	s7210	STE2		c1	inside		Amount	0		FALSE	FALSE	FALSE						
GENE	s7212	SST2		c1	inside		Amount	0		FALSE	FALSE	FALSE						
RNA	s7213	SST2		c1	inside		Amount	0		FALSE	FALSE	FALSE						
GENE	s7214	GPA1		c1	inside		Amount	0		FALSE	FALSE	FALSE						
RNA	s7215	GPA1		c1	inside		Amount	0		FALSE	FALSE	FALSE						
GENE	s7217	FUS1		c1	inside		Amount	0		FALSE	FALSE	FALSE						
GENE	s7218	FUS2		c1	inside		Amount	0		FALSE	FALSE	FALSE						
GENE	s7219	FIG1		c1	inside		Amount	0		FALSE	FALSE	FALSE						
GENE	s7220	FIG2		c1	inside		Amount	0		FALSE	FALSE	FALSE						
GENE	s7221	AGA1		c1	inside		Amount	0		FALSE	FALSE	FALSE						
RNA	s7222	FUS1		c1	inside		Amount	0		FALSE	FALSE	FALSE						
RNA	s7223	FUS2		c1	inside		Amount	0		FALSE	FALSE	FALSE						
RNA	s7224	FIG1		c1	inside		Amount	0		FALSE	FALSE	FALSE						
RNA	s7225	FIG2		c1	inside		Amount	0		FALSE	FALSE	FALSE						
RNA	s7226	AGA1		c1	inside		Amount	0		FALSE	FALSE	FALSE						
PROTEIN	s7017	Sfl1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000005666			
PROTEIN	s7021	Tpk2		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000006124			
PROTEIN	s7074	Tpk1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000003700			
PROTEIN	s7075	Tpk3		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001649			
RNA	s7251	TEC1		c1	inside		Amount	0		FALSE	FALSE	FALSE						
PROTEIN	s7252	Tec1		c1	innerSurface		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000287			
PROTEIN	s7253	Tec1		c1	innerSurface		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000287			
DEGRADED	s7254	sa431_degraded		c1	inside		Amount	0		FALSE	FALSE	FALSE						
PROTEIN	s7298	Ste3		c4	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001661			
DEGRADED	s7299	sa449_degraded		c4	inside		Amount	0		FALSE	FALSE	FALSE						
PROTEIN	s7378	Ubc1		c3	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000002499			
PROTEIN	s7379	Ubc4		c3	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000286			
PROTEIN	s7380	Ubc5		c3	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000002466			
PROTEIN	s7381	Ste2		c3	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000999			
DEGRADED	s7383	sa464_degraded		c4	inside		Amount	0		FALSE	FALSE	FALSE						
