ID	bowtie
RPA34	Target
STP22	Target
RAS2	Target
s8021	0
s8022	0
s8023	0
COX15	Target
s7164	0
s7165	0
s7166	0
s7167	0
s8745	0.416752756557
s7169	0
s8747	0.0815785674291
s8746	0.249165661993
s8741	0.499154168349
s8740	0
s8743	0
s8742	0.499154168349
s57	0
s7943	0.392958241965
s55	0
s54	0
s53	0
s52	0
s7944	0.392958241965
s7945	0.392958241965
s3999	0
s3998	0
s7604	0
s58	0
RPT6	Target
s8503	0
RPT4	Target
RPT5	Target
GSC2	Target
s6535	0
s4000	0
HXT4	Target
s4004	0
s6264	0
ERG9	Target
s6267	0
s6260	0
s6261	0
s6262	0.288730585589
PCT1	Target
s6268	0
s6269	0
SNF2	Target
s6531	0
UBC8	Target
s6532	0
VID24	Target
s8504	0
s7115	0
s7116	0
s7111	0
s7113	0
RGI2	Target
ERG4	Target
ERG6	Target
ERG2	Target
ERG3	Target
s6864	0
s6865	0
s6862	0
s1471	0
s8550	0
s8552	0
s8553	0
s8554	0
HSP30	Target
s8556	0
s8557	0.00644915644571
TPK1	Target
s8559	0.00644915644571
PMR1	Target
s8365	0
s8364	0
s8363	0
s8412	0
s8417	0
s8164	0
s8161	0
s8163	0
s6291	0
s6290	0
TIM23	Target
s6292	0
s6295	0
CPR1	Target
ARO1	Target
ARO2	Target
s8471	0
SFK1	Target
s8749	0
s8748	0
s8521	0.0175063758111
s8522	0
s6687	0
s7432	0
s7433	0
CPR6	Target
s7431	0
s6901	0.00644915644571
s6900	0.0193474693371
s6902	0.00644915644571
GIT1	Target
s6518	0
s6519	0.00644915644571
s8319	0
s7938	0
PUT1	Target
s6408	0
s7937	0.471549890358
AHA1	Target
PIH1	Target
CDC6	Target
s3991	0
CBP3	Target
CBP2	Target
s56	0.943099780716
IRC15	Target
s569	0
CDC34	Target
s3993	0
s7941	0
TOM1	Target
s3995	0
BUD20	Target
s50	0
s8744	0
IRA2	Target
HHF1	Target
s6220	0
s6221	0
ALG14	Target
PYC1	Target
LSP1	Target
s8011	0
s8010	0
MEI4	Target
GPM1	Target
STP4	Target
s2082	0
RPN11	Target
s6330	0
RPN14	Target
s8594	0
s8595	0
s8596	0
s8597	0
s8590	0
s8591	0
s8592	0
s8593	0
s6453	0
s8598	0
s8599	0
MSP1	Target
s157	0.0365978079549
s156	0.0278446200494
ARG80	Target
CYS4	Target
COR1	Target
YTM1	Target
GPX1	Target
RKM1	Target
NRD1	Target
s3	0
s2	0
s1	Source
RPT1	Target
s7	0
TPS2	Target
HSP82	Target
FKS1	Target
CHC1	Target
s593	0
s592	0
s591	0
s597	0
s68	0
s595	0
FCY2	Target
ATP7	Target
s6954	0
s6955	0
s6952	0
s6953	0
s6899	0.00644915644571
s6898	0
CHO2	Target
MCT1	Target
s6553	0
s6556	0
