ID	bowtie_weighted	bowtie	ratio
RPA34	Target	Target	Target
STP22	Target	Target	Target
RAS2	Target	Target	Target
s8021	0	0	0
s8022	0	0	0
s8023	0	0	0
COX15	Target	Target	Target
s7164	0	0	0
s7165	0	0	0
s7166	0	0	0
s7167	0	0	0
s8745	0.0	0.0	0
s7169	0	0	0
s8747	0.0325506175439	0.0385964912281	0.843356909091
s8746	0.0	0.0	0
s8741	0.0	0.0	0
s8740	0	0	0
s8743	0	0	0
s8742	0.0	0.0	0
s57	0	0	0
s7943	0	0	0
s55	0	0	0
s54	0	0	0
s53	0	0	0
s52	0	0	0
s7944	0	0	0
s7945	0	0	0
s3999	0	0	0
s3998	0	0	0
s7604	0	0	0
s58	0	0	0
RPT6	Target	Target	Target
s8503	0	0	0
RPT4	Target	Target	Target
RPT5	Target	Target	Target
GSC2	Target	Target	Target
s6535	0	0	0
s4000	0	0	0
HXT4	Target	Target	Target
s4004	0	0	0
s6264	0	0	0
ERG9	Target	Target	Target
s6267	0	0	0
s6260	0	0	0
s6261	0	0	0
s6262	0.00197683508772	0.368421052632	0.0053656952381
PCT1	Target	Target	Target
s6268	0	0	0
s6269	0	0	0
SNF2	Target	Target	Target
s6531	0	0	0
UBC8	Target	Target	Target
s6532	0	0	0
VID24	Target	Target	Target
s8504	0	0	0
s7115	0	0	0
s7116	0	0	0
s7111	0	0	0
s7113	0	0	0
RGI2	Target	Target	Target
ERG4	Target	Target	Target
ERG6	Target	Target	Target
ERG2	Target	Target	Target
ERG3	Target	Target	Target
s6864	0	0	0
s6865	0	0	0
s6862	0	0	0
s1471	0	0	0
s8550	0	0	0
s8552	0	0	0
s8553	0	0	0
s8554	0	0	0
HSP30	Target	Target	Target
s8556	0	0	0
s8557	0.0	0.0	0
TPK1	Target	Target	Target
s8559	0.0	0.0	0
PMR1	Target	Target	Target
s8365	0	0	0
s8364	0	0	0
s8363	0	0	0
s8412	0	0	0
s8417	0	0	0
s8164	0	0	0
s8161	0	0	0
s8163	0	0	0
s6291	0	0	0
s6290	0	0	0
TIM23	Target	Target	Target
s6292	0	0	0
s6295	0	0	0
CPR1	Target	Target	Target
ARO1	Target	Target	Target
ARO2	Target	Target	Target
s8471	0	0	0
SFK1	Target	Target	Target
s8749	0	0	0
s8748	0	0	0
s8521	0.0	0.0	0
s8522	0	0	0
s6687	0	0	0
s7432	0	0	0
s7433	0	0	0
CPR6	Target	Target	Target
s7431	0	0	0
s6901	0.0	0.0	0
s6900	0.0	0.0	0
s6902	0.0	0.0	0
GIT1	Target	Target	Target
s6518	0	0	0
s6519	0.0	0.0	0
s8319	0	0	0
s7938	0	0	0
PUT1	Target	Target	Target
s6408	0	0	0
s7937	0.0	0.0	0
AHA1	Target	Target	Target
PIH1	Target	Target	Target
CDC6	Target	Target	Target
s3991	0	0	0
CBP3	Target	Target	Target
CBP2	Target	Target	Target
s56	0.141844063158	0.578947368421	0.245003381818
IRC15	Target	Target	Target
s569	0	0	0
CDC34	Target	Target	Target
s3993	0	0	0
s7941	0	0	0
TOM1	Target	Target	Target
s3995	0	0	0
BUD20	Target	Target	Target
s50	0	0	0
s8744	0	0	0
IRA2	Target	Target	Target
HHF1	Target	Target	Target
s6220	0	0	0
s6221	0	0	0
ALG14	Target	Target	Target
PYC1	Target	Target	Target
LSP1	Target	Target	Target
s8011	0	0	0
s8010	0	0	0
MEI4	Target	Target	Target
GPM1	Target	Target	Target
STP4	Target	Target	Target
s2082	0	0	0
RPN11	Target	Target	Target
s6330	0	0	0
RPN14	Target	Target	Target
s8594	0	0	0
s8595	0	0	0
s8596	0	0	0
s8597	0	0	0
s8590	0	0	0
s8591	0	0	0
s8592	0	0	0
s8593	0	0	0
s6453	0	0	0
s8598	0	0	0
s8599	0	0	0
MSP1	Target	Target	Target
s157	-0.000700463157895	0.0175438596491	-0.0399264
s156	-0.000700463157895	0.0175438596491	-0.0399264
ARG80	Target	Target	Target
CYS4	Target	Target	Target
COR1	Target	Target	Target
YTM1	Target	Target	Target
GPX1	Target	Target	Target
RKM1	Target	Target	Target
NRD1	Target	Target	Target
s3	0	0	0
s2	0	0	0
s1	Source	Source	Source
RPT1	Target	Target	Target
s7	0	0	0
TPS2	Target	Target	Target
HSP82	Target	Target	Target
FKS1	Target	Target	Target
CHC1	Target	Target	Target
s593	0	0	0
s592	0	0	0
s591	0	0	0
s597	0	0	0
s68	0	0	0
s595	0	0	0
FCY2	Target	Target	Target
ATP7	Target	Target	Target
s6954	0	0	0
s6955	0	0	0
s6952	0	0	0
s6953	0	0	0
s6899	0.0	0.0	0
s6898	0	0	0
CHO2	Target	Target	Target
MCT1	Target	Target	Target
s6553	0	0	0
s6556	0	0	0
s6557	0	0	0
s6554	0	0	0
s6555	0	0	0
MYO2	Target	Target	Target
s6558	0	0	0
CWP1	Target	Target	Target
s8449	0	0	0
MOT1	Target	Target	Target
RIP1	Target	Target	Target
SCL1	Target	Target	Target
HCH1	Target	Target	Target
s6413	0	0	0
s6412	0	0	0
s6411	0.0318126105263	0.147368421053	0.215871285714
s6410	0	0	0
CTT1	Target	Target	Target
s6415	0	0	0
s6414	0	0	0
YDJ1	Target	Target	Target
SSC1	Target	Target	Target
PEX34	Target	Target	Target
RPN4	Target	Target	Target
RPN5	Target	Target	Target
RPN6	Target	Target	Target
RPN7	Target	Target	Target
PUP1	Target	Target	Target
RPN9	Target	Target	Target
PUP3	Target	Target	Target
PUP2	Target	Target	Target
s8623	0	0	0
s8620	0	0	0
s8626	0	0	0
s8627	0	0	0
s8624	0	0	0
s8625	0	0	0
s8628	0	0	0
s8629	0	0	0
MDJ1	Target	Target	Target
APJ1	Target	Target	Target
AEP3	Target	Target	Target
s7079	0	0	0
s7074	0	0	0
s7075	0.00197683508772	0.368421052632	0.0053656952381
CLB5	Target	Target	Target
ERO1	Target	Target	Target
RIB1	Target	Target	Target
DOM34	Target	Target	Target
REE1	Target	Target	Target
s8758	0	0	0
s8759	0	0	0
s8755	0	0	0
s8752	0	0	0
s8753	0	0	0
s8750	0	0	0
SPT8	Target	Target	Target
s41	0	0	0
s7168	0	0	0
s49	0	0	0
BSC1	Target	Target	Target
HAS1	Target	Target	Target
s8499	0	0	0
s8498	0	0	0
LCB1	Target	Target	Target
AIM26	Target	Target	Target
s6217	0	0	0
s6219	0	0	0
s6218	0	0	0
AIM29	Target	Target	Target
s596	0	0	0
ECM33	Target	Target	Target
FIG4	Target	Target	Target
s7103	0	0	0
s7101	0	0	0
HEM3	Target	Target	Target
PER33	Target	Target	Target
REB1	Target	Target	Target
UME6	Target	Target	Target
BUB3	Target	Target	Target
UBP6	Target	Target	Target
RTN2	Target	Target	Target
GSY2	Target	Target	Target
s8402	0	0	0
s6456	0.0	0.0	0
s6455	0.0	0.0	0
s6454	0	0	0
s8406	0	0	0
s6452	0	0	0
s6451	0	0	0
TPS1	Target	Target	Target
TEF2	Target	Target	Target
s6288	0	0	0
s6289	0	0	0
MTL1	Target	Target	Target
s6282	0	0	0
s6283	0	0	0
s6280	0	0	0
s6286	0	0	0
s6287	0	0	0
s6284	0	0	0
s6285	0	0	0
ARN1	Target	Target	Target
TRP4	Target	Target	Target
RDH54	Target	Target	Target
ASF1	Target	Target	Target
s8534	0	0	0
s8533	0.0	0.0	0
s8531	0	0	0
TOS2	Target	Target	Target
TFC3	Target	Target	Target
s6529	0	0	0
s6528	0	0	0
SRD1	Target	Target	Target
s6919	0	0	0
s6527	0	0	0
s6526	0	0	0
s6525	0	0	0
s6524	0	0	0
s39	-0.000700463157895	0.0175438596491	-0.0399264
MSS51	Target	Target	Target
s35	0	0	0
ERG8	Target	Target	Target
CKS1	Target	Target	Target
YKT6	Target	Target	Target
s32	-0.00739348070175	0.0385964912281	-0.191558363636
KDX1	Target	Target	Target
GCN1	Target	Target	Target
RPA135	Target	Target	Target
MAS1	Target	Target	Target
s8719	0	0	0
EDC2	Target	Target	Target
s579	0	0	0
s578	0	0	0
ELO1	Target	Target	Target
s575	0	0	0
s574	0	0	0
s577	0	0	0
GCD1	Target	Target	Target
s571	0	0	0
s573	0	0	0
s572	0	0	0
s7087	0	0	0
s7086	0	0	0
s7085	0	0	0
s7082	0	0	0
RAD51	Target	Target	Target
HSP31	Target	Target	Target
s7088	0	0	0
GLY1	Target	Target	Target
RPA14	Target	Target	Target
CIT2	Target	Target	Target
LRP1	Target	Target	Target
HHT1	Target	Target	Target
PHO88	Target	Target	Target
HHT2	Target	Target	Target
SHH4	Target	Target	Target
PRP46	Target	Target	Target
RGL1	Target	Target	Target
CMD1	Target	Target	Target
